"CMS Menu Settings","CMS Menu Einstellungen"
"Position in CMS Menu","Position im CMS Menü"
"Show in CMS Menu","Diese Seite im CMS Menü anzeigen"
"do not show","nicht anzeigen"
"name in CMS Menu","Titel im CMS Menü"
"o'clock","Uhr"
"Currently closed","Derzeit geschlossen"
"By","Per"
"or to <a href=""%s"">Contact Form</a>","oder zum <a href=""%s"">Kontaktformular</a>" 
"show","anzeigen"
"Monday","Montag"
"Tuesday","Dienstag"
"Wednesday","Mittwoch"
"Thursday","Donnerstag"
"Friday","Freitag"
"Saturday","Samstag"
"Sunday","Sonntag"
"Menu Title","Menütitel"
